12-23 19:08:49 | Blue-H vs Red-H
12-23 19:08:49 | Directory: results\Test_184\evaluation.log
12-23 19:21:32 | Episode:    27 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   4.950 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  26.000
12-23 19:22:00 | Episode:    28 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.700 | timestep:  88.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  27.000
12-23 19:22:42 | Episode:    29 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   3.200 | timestep:  88.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  28.000
12-23 19:23:11 | Episode:    30 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.050 | timestep:  97.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  29.000
12-23 19:23:40 | Episode:    31 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.750 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  30.000
12-23 19:24:08 | Episode:    32 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.102 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.002 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  31.000
12-23 19:24:37 | Episode:    33 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  32.000
12-23 19:25:05 | Episode:    34 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.250 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  33.000
12-23 19:25:47 | Episode:    35 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   3.350 | timestep:  89.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  34.000
12-23 19:26:16 | Episode:    36 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  35.000
12-23 19:26:44 | Episode:    37 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   3.200 | timestep:  88.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  36.000
12-23 19:27:13 | Episode:    38 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  37.000
12-23 19:27:42 | Episode:    39 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.257 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.009 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  38.000
12-23 19:28:11 | Episode:    40 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.750 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  39.000
12-23 19:28:39 | Episode:    41 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.250 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  40.000
12-23 19:29:21 | Episode:    42 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.400 | timestep:  86.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  41.000
12-23 19:29:50 | Episode:    43 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.950 | timestep: 103.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  42.000
12-23 19:30:19 | Episode:    44 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.750 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  43.000
12-23 19:31:01 | Episode:    45 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   3.050 | timestep:  87.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  44.000
12-23 19:31:29 | Episode:    46 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.450 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  45.000
12-23 19:31:58 | Episode:    47 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   3.200 | timestep:  88.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  46.000
12-23 19:32:26 | Episode:    48 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   4.950 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  47.000
12-23 19:32:55 | Episode:    49 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.250 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  48.000
12-23 19:33:24 | Episode:    50 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.750 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  49.000
12-23 19:33:52 | Episode:    51 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.250 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  50.000
12-23 19:34:21 | Episode:    52 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.726 | timestep:  88.000 | blue catch:   0.000 | blue attack:   0.035 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  51.000
12-23 19:35:03 | Episode:    53 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   3.650 | timestep:  91.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  52.000
12-23 19:35:31 | Episode:    54 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  53.000
12-23 19:36:00 | Episode:    55 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   4.950 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  54.000
12-23 19:36:28 | Episode:    56 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.179 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.106 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  55.000
12-23 19:36:57 | Episode:    57 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.250 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  56.000
12-23 19:37:26 | Episode:    58 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   6.491 | timestep:  93.000 | blue catch:   0.000 | blue attack:   0.055 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  57.000
12-23 19:38:08 | Episode:    59 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.900 | timestep: 106.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  58.000
12-23 19:38:37 | Episode:    60 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   3.500 | timestep:  90.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  59.000
12-23 19:39:19 | Episode:    61 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   3.725 | timestep:  91.000 | blue catch:   0.000 | blue attack:   0.100 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  60.000
12-23 19:39:47 | Episode:    62 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.112 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.017 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  61.000
12-23 19:40:16 | Episode:    63 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.618 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.024 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  62.000
12-23 19:40:44 | Episode:    64 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   4.950 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  63.000
12-23 19:41:13 | Episode:    65 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.250 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  64.000
12-23 19:41:41 | Episode:    66 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  65.000
12-23 19:42:10 | Episode:    67 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  66.000
12-23 19:42:38 | Episode:    68 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   4.989 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.052 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  67.000
12-23 19:43:07 | Episode:    69 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.250 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  68.000
12-23 19:43:35 | Episode:    70 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   4.950 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  69.000
12-23 19:44:17 | Episode:    71 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.750 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  70.000
12-23 19:44:46 | Episode:    72 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.250 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  71.000
12-23 19:45:14 | Episode:    73 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.250 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  72.000
12-23 19:45:43 | Episode:    74 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  73.000
12-23 19:46:12 | Episode:    75 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  74.000
12-23 19:46:40 | Episode:    76 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  75.000
12-23 19:47:09 | Episode:    77 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.250 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  76.000
12-23 19:47:37 | Episode:    78 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.450 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  77.000
12-23 19:48:06 | Episode:    79 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.001 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  78.000
12-23 19:48:48 | Episode:    80 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.600 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  79.000
12-23 19:49:16 | Episode:    81 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   3.650 | timestep:  91.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  80.000
