12-23 18:39:40 | Blue-H vs Red-H
12-23 18:39:40 | Directory: results\Test_719\evaluation.log
12-23 18:49:21 | Episode:    27 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.470 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.027 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  26.000
12-23 18:49:42 | Episode:    28 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.750 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  27.000
12-23 18:50:02 | Episode:    29 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  28.000
12-23 18:50:32 | Episode:    30 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  29.000
12-23 18:50:53 | Episode:    31 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.600 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  30.000
12-23 18:51:14 | Episode:    32 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.816 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.089 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  31.000
12-23 18:51:34 | Episode:    33 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.750 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  32.000
12-23 18:51:55 | Episode:    34 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.450 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  33.000
12-23 18:52:16 | Episode:    35 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.250 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  34.000
12-23 18:52:36 | Episode:    36 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.708 | timestep:  87.000 | blue catch:   0.000 | blue attack:   0.211 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  35.000
12-23 18:53:06 | Episode:    37 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.851 | timestep:  89.000 | blue catch:   0.000 | blue attack:   0.001 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  36.000
12-23 18:53:27 | Episode:    38 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.148 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.064 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  37.000
