12-24 13:09:12 | Blue-H vs Red-H
12-24 13:09:12 | Directory: results\exp_2_baseline\evaluation.log
12-24 13:09:41 | Episode:    85 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  13.246 | timestep:  83.000 | blue catch:   0.000 | blue attack:   2.231 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  86.000
12-24 13:09:41 | Episode:    86 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  12.109 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.273 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  84.000
12-24 13:09:41 | Episode:    87 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  14.231 | timestep:  83.000 | blue catch:   0.000 | blue attack:   2.887 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  87.000
12-24 13:09:41 | Episode:    88 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  14.330 | timestep:  84.000 | blue catch:   0.000 | blue attack:   2.753 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  85.000
12-24 13:09:41 | Episode:    89 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  10.246 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.897 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  89.000
12-24 13:09:41 | Episode:    90 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  20.160 | timestep:  83.000 | blue catch:   1.000 | blue attack:   2.840 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  90.000
12-24 13:09:41 | Episode:    91 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  19.578 | timestep:  84.000 | blue catch:   1.000 | blue attack:   2.252 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  88.000
12-24 13:09:45 | Episode:    92 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  18.902 | timestep:  83.000 | blue catch:   1.000 | blue attack:   2.001 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  91.000
12-24 13:09:45 | Episode:    93 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  12.825 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.950 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  92.000
12-24 13:09:45 | Episode:    94 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  11.235 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.890 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  93.000
12-24 13:09:45 | Episode:    95 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  19.312 | timestep:  83.000 | blue catch:   1.000 | blue attack:   2.275 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  94.000
