12-23 18:21:37 | Blue-H vs Red-H
12-23 18:21:37 | Directory: results\Test_90\evaluation.log
12-23 18:32:31 | Episode:    27 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.602 | timestep:  87.000 | blue catch:   0.000 | blue attack:   0.070 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  26.000
12-23 18:32:59 | Episode:    28 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   3.200 | timestep:  88.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  27.000
12-23 18:33:29 | Episode:    29 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  28.000
12-23 18:33:54 | Episode:    30 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   4.958 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.011 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  29.000
12-23 18:34:19 | Episode:    31 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.600 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.001 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  30.000
12-23 18:34:43 | Episode:    32 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   1.000 | timestep:  90.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  31.000
12-23 18:35:08 | Episode:    33 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.101 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.002 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  32.000
12-23 18:35:33 | Episode:    34 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.750 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  33.000
12-23 18:36:14 | Episode:    35 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.750 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  34.000
12-23 18:36:43 | Episode:    36 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.401 | timestep:  86.000 | blue catch:   0.000 | blue attack:   0.001 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  35.000
12-23 18:37:09 | Episode:    37 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.550 | timestep:  87.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  36.000
12-23 18:37:35 | Episode:    38 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  37.000
12-23 18:38:00 | Episode:    39 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.292 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.056 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  38.000
12-23 18:38:27 | Episode:    40 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.750 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  39.000
12-23 18:38:55 | Episode:    41 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.261 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.014 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  40.000
12-23 18:39:24 | Episode:    42 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  41.000
12-23 18:40:04 | Episode:    43 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.116 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.021 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  42.000
12-23 18:40:27 | Episode:    44 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   3.800 | timestep:  92.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  43.000
12-23 18:40:50 | Episode:    45 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.250 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  44.000
12-23 18:41:15 | Episode:    46 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.400 | timestep:  86.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  45.000
12-23 18:41:42 | Episode:    47 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.600 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  46.000
12-23 18:42:09 | Episode:    48 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   4.950 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  47.000
12-23 18:42:34 | Episode:    49 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.900 | timestep:  86.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  48.000
12-23 18:43:07 | Episode:    50 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.250 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  49.000
12-23 18:43:29 | Episode:    51 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.250 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  50.000
12-23 18:43:53 | Episode:    52 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.701 | timestep:  88.000 | blue catch:   0.000 | blue attack:   0.001 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  51.000
12-23 18:44:20 | Episode:    53 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.900 | timestep:  86.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  52.000
12-23 18:44:47 | Episode:    54 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  53.000
12-23 18:45:14 | Episode:    55 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.902 | timestep:  86.000 | blue catch:   0.000 | blue attack:   0.002 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  54.000
12-23 18:45:38 | Episode:    56 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.600 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  55.000
12-23 18:46:10 | Episode:    57 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.600 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  56.000
12-23 18:46:33 | Episode:    58 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   4.950 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  57.000
12-23 18:46:58 | Episode:    59 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.250 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  58.000
12-23 18:47:25 | Episode:    60 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   3.200 | timestep:  88.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  59.000
12-23 18:47:53 | Episode:    61 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   3.350 | timestep:  89.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  60.000
12-23 18:48:18 | Episode:    62 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  61.000
12-23 18:48:41 | Episode:    63 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.900 | timestep:  86.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  62.000
12-23 18:48:52 | Episode:    64 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  -9.450 | timestep:  37.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   3.000 | blue reward feedback:   0.000 | seed:  63.000
12-23 18:49:28 | Episode:    65 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   3.050 | timestep:  87.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  64.000
12-23 18:49:53 | Episode:    66 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   0.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  65.000
12-23 18:50:20 | Episode:    67 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  66.000
12-23 18:50:47 | Episode:    68 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.600 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  67.000
12-23 18:51:12 | Episode:    69 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.250 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  68.000
12-23 18:51:36 | Episode:    70 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.750 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  69.000
12-23 18:51:58 | Episode:    71 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   4.950 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  70.000
12-23 18:52:23 | Episode:    72 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   3.200 | timestep:  88.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  71.000
12-23 18:52:49 | Episode:    73 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.250 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  72.000
12-23 18:53:29 | Episode:    74 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  73.000
12-23 18:53:54 | Episode:    75 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.900 | timestep:  86.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  74.000
12-23 18:54:18 | Episode:    76 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  75.000
12-23 18:54:43 | Episode:    77 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.250 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  76.000
12-23 18:55:08 | Episode:    78 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.450 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  77.000
12-23 18:55:35 | Episode:    79 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  78.000
12-23 18:56:02 | Episode:    80 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.750 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  79.000
12-23 18:56:28 | Episode:    81 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  80.000
12-23 18:56:51 | Episode:    82 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.400 | timestep:  86.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  81.000
12-23 18:57:25 | Episode:    83 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.750 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  82.000
12-23 18:57:49 | Episode:    84 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   3.050 | timestep:  87.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  83.000
12-23 18:58:14 | Episode:    85 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.450 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  84.000
12-23 18:58:41 | Episode:    86 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   4.250 | timestep:  95.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  85.000
12-23 18:59:21 | Episode:    87 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   1.150 | timestep:  91.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  86.000
12-23 18:59:44 | Episode:    88 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   4.950 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  87.000
12-23 19:00:07 | Episode:    89 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.462 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.016 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  88.000
12-23 19:00:30 | Episode:    90 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.412 | timestep:  86.000 | blue catch:   0.000 | blue attack:   0.017 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  89.000
12-23 19:00:56 | Episode:    91 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.250 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  90.000
12-23 19:01:24 | Episode:    92 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.600 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  91.000
12-23 19:01:50 | Episode:    93 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  92.000
12-23 19:02:24 | Episode:    94 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.950 | timestep: 103.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  93.000
