12-24 13:02:50 | Blue-H vs Red-H
12-24 13:02:50 | Directory: results\exp_2_baseline\evaluation.log
12-24 13:02:59 | Episode:    27 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  12.262 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.575 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  27.000
12-24 13:02:59 | Episode:    28 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  13.279 | timestep:  84.000 | blue catch:   0.000 | blue attack:   2.053 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  23.000
12-24 13:02:59 | Episode:    29 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  17.587 | timestep:  83.000 | blue catch:   1.000 | blue attack:   1.125 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  28.000
12-24 13:02:59 | Episode:    30 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  13.519 | timestep:  83.000 | blue catch:   0.000 | blue attack:   2.412 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  29.000
12-24 13:02:59 | Episode:    31 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   9.547 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.432 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  30.000
12-24 13:03:02 | Episode:    32 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  11.912 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.342 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  32.000
12-24 13:03:02 | Episode:    33 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  12.790 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.926 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  33.000
12-24 13:03:02 | Episode:    34 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  11.452 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.835 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  31.000
12-24 13:03:02 | Episode:    35 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  14.614 | timestep:  83.000 | blue catch:   0.000 | blue attack:   3.142 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  35.000
12-24 13:03:02 | Episode:    36 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  19.139 | timestep:  83.000 | blue catch:   1.000 | blue attack:   2.160 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  37.000
12-24 13:03:02 | Episode:    37 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  20.172 | timestep:  84.000 | blue catch:   1.000 | blue attack:   2.648 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  34.000
12-24 13:03:02 | Episode:    38 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  12.943 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.829 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  36.000
12-24 13:03:02 | Episode:    39 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  11.060 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.773 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  40.000
12-24 13:03:02 | Episode:    40 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   7.422 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.481 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  38.000
