12-24 14:01:33 | Blue-H vs Red-H
12-24 14:01:33 | Directory: results\exp_2_approachB\exp_2_approachB.log
12-24 14:01:42 | Episode:    27 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   7.279 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.586 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  27.000
12-24 14:01:42 | Episode:    28 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  16.806 | timestep:  84.000 | blue catch:   1.000 | blue attack:   2.070 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  23.000
12-24 14:01:42 | Episode:    29 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   9.312 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.275 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  28.000
12-24 14:01:42 | Episode:    30 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  10.128 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.819 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  29.000
12-24 14:01:42 | Episode:    31 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   9.830 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.620 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  30.000
12-24 14:01:45 | Episode:    32 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   8.671 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.848 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  32.000
12-24 14:01:45 | Episode:    33 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  12.725 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.883 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  33.000
12-24 14:01:45 | Episode:    34 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   9.334 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.090 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  31.000
12-24 14:01:45 | Episode:    35 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  17.321 | timestep:  83.000 | blue catch:   1.000 | blue attack:   2.614 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  35.000
12-24 14:01:45 | Episode:    36 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   9.114 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.143 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  37.000
